localW	localH	local-size	tsk	trw	trh	tsw	tsh	n-size	realization	nounroll	gpu-time	Column 13
16	8	128	16	20	8	320	64	4	2	0	10.44916	
16	8	128	16	12	8	192	64	4	2	0	10.52148	
16	8	128	16	12	8	192	64	4	2	0	10.52148	
16	8	128	8	20	6	320	48	4	2	0	10.73008	
16	8	128	12	12	8	192	64	4	2	0	10.89476	
16	8	128	12	20	6	320	48	4	2	0	10.89544	
16	8	128	16	12	8	192	64	2	2	0	10.91124	
16	8	128	8	20	8	320	64	4	2	0	10.93192	
16	8	128	12	12	8	192	64	2	2	0	11.05544	
16	8	128	16	12	6	192	48	2	2	0	11.06084	
16	8	128	12	20	8	320	64	4	2	0	11.15508	
16	8	128	12	12	6	192	48	2	2	0	11.28448	
16	8	128	8	12	8	192	64	2	2	0	11.49	
32	4	128	12	12	8	384	32	4	2	0	11.59824	
16	8	128	16	12	6	192	48	4	2	0	11.69104	
16	8	128	12	20	4	320	32	4	2	0	11.76668	
16	8	128	16	20	6	320	48	4	2	0	12.02808	
16	4	64	8	12	8	192	32	4	2	0	12.07664	
16	4	64	8	16	8	256	32	4	2	0	12.20688	
16	4	64	12	12	8	192	32	4	2	0	12.2884	
16	8	128	8	12	6	192	48	2	2	0	12.28896	
32	4	128	8	12	8	384	32	4	2	0	12.39836	
32	4	128	12	8	8	256	32	4	2	0	12.4382	
16	8	128	12	12	6	192	48	4	2	0	12.4404	
16	8	128	16	8	8	128	64	4	2	0	12.47348	
16	4	64	12	8	8	128	32	4	2	0	12.47792	
32	4	128	8	16	8	512	32	4	2	0	12.50476	
16	8	128	4	12	8	192	64	2	2	0	12.57412	
16	4	64	16	12	8	192	32	4	2	0	12.7246	
16	8	128	8	12	8	192	64	4	2	0	12.81112	
16	4	64	8	12	6	192	24	4	2	0	12.90604	
16	4	64	4	12	6	192	24	4	2	0	12.91808	
32	4	128	4	12	6	384	24	4	2	0	12.95732	
32	4	128	8	12	6	384	24	4	2	0	12.97856	
16	8	128	12	8	8	128	64	4	2	0	13.02384	
8	4	32	4	12	6	96	24	4	2	0	13.16276	
16	4	64	8	8	6	128	24	4	2	0	13.17524	
16	8	128	12	12	4	192	32	4	2	0	13.33384	
16	4	64	8	8	8	128	32	4	2	0	13.36052	
16	4	64	4	12	8	192	32	4	2	0	13.3894	
32	4	128	16	8	8	256	32	4	2	0	13.39508	
8	4	32	8	8	8	64	32	4	2	0	13.42928	
16	8	128	16	16	8	256	64	4	2	0	13.49068	
16	8	128	8	20	6	320	48	2	2	0	13.53056	
16	8	128	12	16	8	256	64	4	2	0	13.53056	
16	8	128	8	12	6	192	48	4	2	0	13.63436	
16	8	128	16	20	4	320	32	4	2	0	13.8556	
16	4	64	12	16	8	256	32	4	2	0	13.86796	
16	8	128	16	8	8	128	64	2	2	0	13.8904	
32	4	128	4	12	8	384	32	4	2	0	13.9976	
16	4	64	16	8	8	128	32	4	2	0	14.00408	
16	8	128	4	20	8	320	64	4	2	0	14.13412	
32	4	128	8	8	8	256	32	4	2	0	14.19264	
32	4	128	16	12	8	384	32	4	2	0	14.24296	
16	8	128	8	16	8	256	64	4	2	0	14.24936	
16	4	64	12	8	6	128	24	4	2	0	14.26424	
32	4	128	12	12	6	384	24	4	2	0	14.33148	
32	4	128	8	8	8	256	32	2	2	0	14.43204	
