artificial_factor,time_await_kernel,raw_calculating_end_start
1.000000,0.074633,0.001774
2.000000,0.139395,0.003326
3.000000,0.228016,0.005449
4.000000,0.282880,0.006762
5.000000,0.344581,0.008249
6.000000,0.427256,0.010232
7.000000,0.478594,0.011469
8.000000,0.557109,0.013353
9.000000,0.632301,0.015159
10.000000,0.696572,0.016692
11.000000,0.753342,0.018056
12.000000,0.838186,0.020097
13.000000,0.911091,0.021850
14.000000,0.960560,0.023033
15.000000,1.045457,0.025073
16.000000,1.090858,0.026159
17.000000,1.190987,0.028561
18.000000,1.306580,0.031341
19.000000,1.375216,0.032987
20.000000,1.400325,0.033406
21.000000,1.443449,0.034597
22.000000,1.512257,0.036279
23.000000,1.594370,0.038246
24.000000,1.650226,0.039583
25.000000,1.749556,0.041965
26.000000,1.820491,0.043672
27.000000,1.945921,0.046682
28.000000,1.978319,0.047463
29.000000,2.039701,0.048934
30.000000,2.134978,0.051219
31.000000,2.138435,0.051294
32.000000,2.188744,0.052514
33.000000,2.305539,0.055313
34.000000,2.386102,0.057239
35.000000,2.394614,0.057451
36.000000,2.465800,0.059159
37.000000,2.525404,0.060590
38.000000,2.571126,0.061687
39.000000,2.681063,0.064322
40.000000,2.755117,0.066099
41.000000,2.804393,0.067287
42.000000,2.840191,0.068098
43.000000,2.999520,0.071966
44.000000,3.147144,0.075507
45.000000,3.256986,0.078147
46.000000,3.305063,0.079305
47.000000,3.301786,0.079219
48.000000,3.356463,0.080534
49.000000,3.347119,0.080314
50.000000,3.457073,0.082948
51.000000,3.474589,0.083367
52.000000,3.633286,0.087182
53.000000,3.698672,0.088748
54.000000,3.889795,0.093331
55.000000,3.776575,0.090616
56.000000,3.853812,0.092470
57.000000,4.071980,0.097707
58.000000,4.013522,0.096302
59.000000,4.089127,0.098122
60.000000,4.125204,0.098987
61.000000,4.221129,0.101284
62.000000,4.457828,0.106972
63.000000,4.578597,0.109867
64.000000,4.495407,0.107871
65.000000,4.529297,0.108682
66.000000,4.550427,0.109189
67.000000,4.600542,0.110395
68.000000,4.664203,0.111919
69.000000,4.729921,0.113494
70.000000,4.797398,0.115116
71.000000,4.865917,0.116758
72.000000,4.964329,0.119127
73.000000,5.042605,0.120947
74.000000,5.069436,0.121594
75.000000,5.144054,0.123400
76.000000,5.276920,0.126597
77.000000,5.316103,0.127553
78.000000,5.353332,0.128448
79.000000,5.465934,0.131154
80.000000,5.503239,0.132051
81.000000,5.565464,0.133546
82.000000,6.018319,0.144414
83.000000,6.187685,0.148480
84.000000,6.060720,0.145434
85.000000,5.941939,0.142589
86.000000,6.358551,0.152581
87.000000,6.149002,0.147559
88.000000,6.068171,0.145614
89.000000,6.119740,0.146852
90.000000,6.170782,0.148077
91.000000,6.291139,0.150965
92.000000,6.605633,0.158513
93.000000,6.820274,0.163669
94.000000,7.067461,0.169598
95.000000,6.647033,0.159511
96.000000,6.615615,0.158758
97.000000,6.707869,0.160968
98.000000,6.690294,0.160550
99.000000,6.746011,0.161882
100.000000,6.808249,0.163380
