artificial_factor,time_await_kernel,raw_calculating_end_start
1000.000000,74.718613,1.793217
1001.000000,69.655182,1.671699
1002.000000,70.200790,1.684792
1003.000000,70.511650,1.692253
1004.000000,71.019829,1.704450
1005.000000,71.574905,1.717767
1006.000000,71.568977,1.717628
1007.000000,72.968941,1.749929
1008.000000,71.767921,1.722391
1009.000000,69.787148,1.674856
1010.000000,69.583855,1.669977
1011.000000,69.797981,1.675114
1012.000000,69.646690,1.671478
1013.000000,69.821678,1.675682
1014.000000,70.056572,1.681318
1015.000000,70.155830,1.683672
1016.000000,69.941643,1.678564
1017.000000,69.974571,1.679348
1018.000000,70.365051,1.688725
1019.000000,70.414764,1.689913
1020.000000,70.624084,1.694937
1021.000000,70.437637,1.690044
1022.000000,70.530525,1.692664
1023.000000,70.648087,1.695508
1024.000000,70.377335,1.689009
1025.000000,70.530869,1.692700
1026.000000,70.561798,1.695461
1027.000000,1035.215698,1.694250
1028.000000,1903.105713,1.702445
1029.000000,1002.587280,1.701211
1030.000000,890.490234,1.702718
1031.000000,981.363525,1.700855
1032.000000,70.870964,1.700905
1033.000000,77.349815,1.856378
1034.000000,115.571373,2.773693
1035.000000,88.698250,2.128718
1036.000000,108.514412,2.604328
1037.000000,96.570374,2.317665
1038.000000,104.061882,2.497459
1039.000000,104.198456,2.500728
1040.000000,102.534782,2.460811
1041.000000,102.650223,2.463569
1042.000000,105.233406,2.525578
1043.000000,106.148636,2.547535
1044.000000,106.485794,2.555626
1045.000000,107.105057,2.570487
1046.000000,107.057693,2.569354
1047.000000,112.083397,2.689964
1048.000000,110.563187,2.653483
1049.000000,109.234764,2.621564
1050.000000,109.233849,2.621165
1051.000000,109.888191,2.637274
1052.000000,110.385864,2.649217
1053.000000,110.589577,2.654112
1054.000000,111.200562,2.668784
1055.000000,111.415672,2.673935
1056.000000,111.652420,2.679620
1057.000000,111.532936,2.676751
1058.000000,111.552719,2.677821
1059.000000,111.568085,2.677620
1060.000000,111.904648,2.685681
1061.000000,113.986397,2.735643
1062.000000,112.949539,2.710769
1063.000000,112.909683,2.709800
1064.000000,113.585846,2.726025
1065.000000,115.852402,2.780436
1066.000000,114.575531,2.750175
1067.000000,114.027802,2.736920
1068.000000,113.917099,2.733990
1069.000000,114.876465,2.757015
1070.000000,114.870552,2.756871
1071.000000,115.090904,2.762160
1072.000000,115.814301,2.779524
1073.000000,115.387817,2.769286
1074.000000,115.562431,2.773478
1075.000000,115.194649,2.763602
1076.000000,115.564072,2.773500
1077.000000,116.384094,2.793181
1078.000000,116.759628,2.802196
1079.000000,116.851883,2.804409
1080.000000,115.920845,2.782064
1081.000000,116.415794,2.793930
1082.000000,116.929031,2.806272
1083.000000,116.787010,2.801825
1084.000000,117.115425,2.810715
1085.000000,117.294350,2.815012
1086.000000,117.323418,2.815720
1087.000000,117.728462,2.825432
1088.000000,117.434578,2.818377
1089.000000,117.753471,2.826029
1090.000000,118.344452,2.840038
1091.000000,1040.837036,2.325083
1092.000000,77.752083,1.866038
1093.000000,174.812515,4.195470
1094.000000,118.934860,2.854506
1095.000000,124.522293,2.988507
1096.000000,125.075043,3.001758
1097.000000,129.080444,3.097874
1098.000000,124.015671,2.976336
1099.000000,121.721420,2.921271
1100.000000,121.871025,2.924868
1101.000000,121.968391,2.927123
1102.000000,120.986206,2.903223
1103.000000,120.449043,2.890724
1104.000000,120.795219,2.899030
1105.000000,120.738655,2.897675
1106.000000,120.743004,2.897780
1107.000000,120.731583,2.897505
1108.000000,120.327278,2.887796
1109.000000,120.236015,2.885388
1110.000000,120.212097,2.884956
1111.000000,120.304634,2.887260
1112.000000,120.698700,2.896703
1113.000000,120.024086,2.880519
1114.000000,120.634636,2.895172
1115.000000,120.241241,2.885734
1116.000000,121.412666,2.913837
1117.000000,121.048904,2.904945
1118.000000,121.152458,2.907581
1119.000000,121.242622,2.909770
1120.000000,121.702148,2.920797
1121.000000,124.058746,2.977346
1122.000000,123.176826,2.956176
1123.000000,122.825821,2.947755
1124.000000,122.717239,2.945149
1125.000000,122.839592,2.948596
1126.000000,121.994026,2.927803
1127.000000,1079.238159,2.614074
1128.000000,77.419586,1.858008
1129.000000,1278.671631,1.937574
1130.000000,77.402885,1.857876
1131.000000,1006.053833,1.939353
1132.000000,80.097397,1.922326
1133.000000,1110.175293,1.940402
1134.000000,80.359489,1.928601
1135.000000,129.560791,3.109438
1136.000000,117.235016,2.813617
1137.000000,120.130814,2.883119
1138.000000,107.462952,2.579088
1139.000000,120.674919,2.896159
1140.000000,118.919785,2.854036
1141.000000,116.196976,2.788638
1142.000000,116.931770,2.806308
1143.000000,118.484734,2.843592
1144.000000,110.761749,2.658178
1145.000000,79.310036,1.903397
1146.000000,79.955757,1.918919
1147.000000,81.187988,1.948492
1148.000000,81.859001,1.964590
1149.000000,80.974289,1.943359
1150.000000,80.102501,1.922441
1151.000000,79.647446,1.911518
1152.000000,79.842880,1.916208
1153.000000,79.762932,1.914288
1154.000000,80.135307,1.923224
1155.000000,79.834564,1.916009
1156.000000,79.975258,1.919297
1157.000000,80.320511,1.927661
1158.000000,80.042221,1.920992
1159.000000,80.019867,1.920451
1160.000000,82.814888,1.987529
1161.000000,83.031563,1.992737
1162.000000,83.154167,1.995681
1163.000000,83.144196,1.995442
1164.000000,83.163071,1.995894
1165.000000,83.241432,1.997775
1166.000000,83.346039,2.000285
1167.000000,3370.154541,2.627427
1168.000000,318.085358,3.435343
1169.000000,155.053024,2.550150
1170.000000,83.414772,2.001944
